record_id,source_system,customer_id,customer_name,customer_email,phone_raw,age_raw,gender_raw,signup_date_raw,order_id,order_date_raw,ship_date_raw,delivery_date_raw,customer_timezone,country_raw,city_raw,postal_code_raw,product_category_raw,product_name_raw,sku_raw,quantity_raw,unit_price_raw,currency_raw,discount_raw,shipping_cost_raw,item_weight_raw,payment_method_raw,order_status_raw,returned_flag_raw,return_reason_raw,satisfaction_score_raw,loyalty_points_raw,site_visits_last30_raw,support_tickets_90d_raw,distance_to_warehouse_km_raw,campaign_source_raw,customer_segment_raw,support_ticket_date_raw,complaint_text_raw,ingestion_batch,data_source_note
GM-01124,web,CUST-000194,Amina Cruz,amina.cruz593@hotmail.com,+41 50 917 84 24,na,M,20240331,ORD-SW91ATN1,10 Feb 2026,17-02-2026,03/01/2026,America/New_York,Australia,Perth,66699,BEAUTY,Sunscreen SPF50,,N/A,118.50,AUD,5.6%,,6.853,na,delivered,No,-,3,319,8,1,214.27,none,premium,06 Apr 2026,Payment failed twice but card was charged.,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01224,APP,CUST-001115,Zoë García,zo.garca at hotmail.com,+63 986 018 9533,37,F,2022/04/13,ORD-AXC19O0Z,11/08/25,21-Aug-2025 00:00,20250913,America/New_York,Deutschland,Hamburg,Z8Q 4G5,READING,Machine Learning Pocketbook,SKU-BOO-9861,3,€50.76,EUR,5.5%,28.25,5.380,ATM card,payment failed,No,,3,599,6,0,1387.16,AFF,None,2025-10-16,Great service — fast delivery!,legacy_excel_export,Some returns are recorded only in support tickets.
GM-01121,marketplace,CUST-001074,Müller Santos,mller.santos514@hotmail.com,+63 920 952 1476,19,Prefer not to say,07-03-2024,ORD-HBCLKQ8K,2024-06-09,2024-06-19,20-06-2024,PST,Brasil,São Paulo,C2D 1W4,Fitness,Cycling Gloves,sku_305436,2,BRL 1374.23,BRL,13%,152.38,17.53 lbs,wire,Cancelled,No,,1,321,16,0,499.15,Influencer,occasional,None,-,batch_C_windows1252,Legacy export may contain mojibake in names/cities.
GM-00889,Market Place,CUST-000655,Søren Mendoza,sren.mendoza887@hotmail.com,+63 913 655 7837,46,NB,2021-11-12,ORD-L577MBSM,"Nov 16, 2025",20251114,12/06/2025 12:00 AM,JST,Australia,Melbourne,NA,Book,Data Science Handbook,SKU-BOO-9499,0,45.02,AUD,6.8%,43.70,6.273,Debit Card,delivered,No,,3,500,6,0,1382.42,AFF,Dormant,12/13/2025,Received wrong color.,batch_C_windows1252,Currency conversion not yet standardized.
GM-01254,APP,CUST-000283,Paulo Lopez,paulo.lopez693@gmail.com,+81-81-5140-7740,23,F,na,ORD-4NQYFEHJ,28-Dec-2025 00:00,12/29/2025,09/01/26,EST,Australia,Melbourne,N/A,Fashion,Linen Dress,sku_175438,2,213.31,NULL,20.5%,47.46,11.50 lbs,applepay,ok,No,,3,unknown,25,0,907.67,google,occasional,2026-03-02,Produit arrivé cassé.,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00713,Mobile App,CUST-000511,Lucas Nguyễn,lucas.nguyn66@gmail.com,+63 969 983 3608,NULL,Non-binary,05/20/2022,ORD-7AU0QGQ5,07/17/2024,07/16/2024 12:00 AM,"Jul 26, 2024",Asia/Manila,Singapore,na,E3U 2X9,Clothing,Sunglasses,sku_987432,1,324.21,SGD,0.05,SGD 18.49,0.721,cod,delivered,No,NA,1,996,14,0,45.4,email,OCC,23/09/24,Payment failed twice but card was charged.,batch_C_windows1252,"Merged from checkout, CRM, and support extracts."
GM-00050,APP,CUST-000344,Noah Mendoza,noah.mendoza840@example..com,+81-06-6149-8282,66,Non-binary,01/06/21,ORD-LZH6A50N,"Jun 17, 2025",21-Jun-2025 00:00,2025/07/06,JST,Frnce,Toulouse,D7S 3G7,Book,Productivity Journal,sku_821933,1,55.52,None,9.3%,22.46,4.805,g-cash,shipping,No,NA,4,551,23,1,341.47,Influencer,vip,29/06/25,The size chart didnâ€™t match.,api_stream_v2,Duplicate order records possible due to API retry.
GM-01680,APP,CUST-001209,Zoë Tan,zo.tan757@example..com,+63 946 933 4934,49,female,2024/08/14,ORD-MUBYSQGO,20240711,2024/07/11,16/07/24,JST,Nippon,Tokyo,V7L 7L2,HOME-KITCHEN,Kitchen Scale,SKU-HOM-1579,2,31051.26,JPY,,"¥5,077.67",14149 g,Credit Card,complete,No,,1,579,18,20,797.1,none,N/A, 27/07/24 ,Customer can’t access return portal.,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01843,Web ,CUST-000635,MÃ¼ller FranÃ§ois,mller.franois919@gmail.com,+1 (5) 772-4727,30,,2023/07/28,ORD-KM07FK6G,2024/06/05,06/14/2024,06/22/2024,GMT+1,Germany,Berlin,None,home kitchen,Rice Cooker,HO 984,2,53.94,CAD,8.6%,NA,12.23 kg,GCash,RMA,Yes,Wrong size,5,342,10,1,302.98,,vip,,,legacy_excel_export,"Merged from checkout, CRM, and support extracts."
GM-01394,Web ,CUST-000232,Lucas Santos,lucas.santos348@gmail.com,+81-89-3711-3412,73,Non-binary,03-02-2023,ORD-GHZQZKLH,13 Feb 2026,2026-02-11,2026-02-25,JST,Germany,Hamburg,K1R 8E3,home kitchen,Bamboo Organizer,HO 652,3,219.51,EUR,25.0%,24.33,7.416,cash delivery,delivered,No,,1,362,NA,0,665.92,google,Occasional Buyer,02/03/26,-,legacy_excel_export,"Merged from checkout, CRM, and support extracts."
GM-00258,APP,CUST-000224,JÃ¼rgen FranÃ§ois,jrgen.franois285@hotmail.com,NA,26,male,30/04/24,ORD-8UFQAU5S,2026/03/14,03/14/2026,2026-03-22,UTC+8,Australia,Sydney,0000,beauty,Hydrating Toner,SKU-BEA-3001,2,36.44,AUD,1.8%,0.79,0.38 kg,Debit Card,awaiting payment,TRUE,,5,507,7,1,1374.4,facebook,New,04/02/2026,Payment failed twice but card was charged.,api_stream_v2,Dates came from mixed regional settings.
GM-00790,call centre,CUST-000542,Björk O’Connor,bjrk.oconnor871@company.com,+81-63-2875-2380,73,F,20240728,ORD-5PACKOO0,10/06/2024,2024/10/12,0000-00-00,Asia/Manila,Singapore,Singapore,10743,FASHN,Running Shoes,sku_950268,1 pcs,SGD -226.60,SGD,6%,S$27.16,7.98 kg,PayPal,RETURN,Y,n/a,2,0,12,9,None,Email Campaign,at-risk,2024-11-05 00:00,Customer wrote: “not what I expected”.,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00705,partner-api,CUST-000987,André Schneider,andr.schneider75@gmail.com,+1 (1) 745-3314,NA,male,12/06/2020,ORD-GFUNQLOV,na,03 Mar 2024,29-02-2024,AEST,Philippines,Cebu,N/A,Home/Kitchen,Air Fryer,HO 889,2,131.33,CAD,39.4%,30.86,7.323,applepay,DELIVERED,No,N/A,3,696,0,0,0,none,repeat,03/27/2024,Package arrived late.,batch_C_windows1252,Dates came from mixed regional settings.
GM-01768,web,CUST-000440,Ava Núñez,ava.nez643@example..com,+81-46-5192-1833,72,,09/25/2024,ORD-RETECCX7,2026-03-04,08 Mar 2026,03/26/2026 12:00 AM,JST,Brasil,Salvador,13216,sports,Foam Roller,,1,158.53,BRL,23%,"103,35",4.765,Cash on Delivery,complete,No,none,unknown,384,15,1,N/A,Email Campaign,Occasional Buyer,26 Mar 2026,El producto llegÃ³ tarde.,batch_C_windows1252,Dates came from mixed regional settings.
GM-01638,APP,CUST-000786,Liam Cruz,liam.cruz240@gmai.com,+41 50 086 02 29,49,Prefer not to say,18 Feb 2023,ORD-D8JK4F2K,20251018,10/26/2025,11/24/2025 12:00 AM,CET,Canada,Ottawa,0000,Beauty,Aloe Moisturizer,,1 pcs,None,CAD,2.1%,38.31,1.208,card,DELIVERED,No,,1,892,10,0,361.54,NA,Loyal,N/A,Entrega atrasada em SÃ£o Paulo.,api_stream_v2,Dates came from mixed regional settings.
GM-00377,WEB,CUST-000324,Ana Smith,ana.smith699@gmail.com,+41 81 427 35 02,67,F,45328,ORD-YD3UIFDL,2024-11-30 00:00,05 Dec 2024,2024-12-14,Europe/Zurich,United States,San Francisco,N/A,elec,4K ACTION CAMERA,,4 pcs,824.35,USD,28%,USD 28.06,4.948,Credit Card,delivered,No,-,5,0,26,2,403.48,Facebook,Regular,"Dec 04, 2024",,api_stream_v2,Some returns are recorded only in support tickets.
GM-00331,Partner API,CUST-000018,?,jay.dubois660@gmail.com,+81-43-6425-4247,51,,02/10/2023,ORD-KOVE5RZU,45571,2024-10-07,2024-10-15 00:00,,brazil,Brasília,W4G 5Y5,BEAUTY,Hydrating Toner,SKU-BEA-1766,3,"192,68",BRL,45%,R$53.05,3.471,COD,complete,No,NA,3,335,20,2,175.39,Email Campaign,repeat,na,Customer can’t access return portal.,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01098,call centre,CUST-000500,Jose Garcia,jose.garcia731@company.com,+81-16-3312-1618,42,female,24/05/23,ORD-PVP2Q7YY,01/15/2026 12:00 AM,15 Jan 2026,2026-02-07 00:00,CET,unknown,Frankfurt,5897,Home and Kitchen,Air Fryer,HO 980,1,10.26,EUR,5.2%,0.70,13.748,debit,Completed,No,NA,4,453,4,0,1239.73,Influencer,At Risk,2026-03-15,Received wrong color.,batch_A_utf8,
GM-00170,Store,CUST-000037,Nguyễn Miller,nguyn.miller580@outlook.com,+81-54-6628-9735,24,Male,2025-02-19,ORD-LOAEBI8B,15-Jan-2025 00:00, 20 Jan 2025 ,"Jan 26, 2025",UTC+8,France,Toulouse,1712,Media/Books,AI Ethics Primer,BO 920,3,"34,17",EUR,10%,25.75,4.480,Apple-Pay,ok,No,,N/A,540,13,0,1203.85,Influencer,Occasional,2025-01-29 00:00,Customer wrote: “not what I expected”.,batch_C_windows1252,Currency conversion not yet standardized.
GM-01891,Partner API,N/A,Jay Cruz,jay.cruz345@yahoo.com,+41 67 106 70 66,unknown,,07/24/2020,ORD-PXVQ26FQ,04 May 2024,2024-05-11 00:00,na,GMT+1,Nippon,Osaka,Q4L 4Q5,READING,Cookbook: Asian Flavors,sku_827403,1,"¥3,543.65",JPY,10.7%,5227.74,1.623,debit-card,pending,No,unknown,1,431,300,1,882.07,Email Campaign,first-time,14/06/24,No complaint.,batch_B_latin1,NULL
GM-01474,marketplace,CUST-001013,Đức Brown,c.brown956@example..com,+1 (7) 398-4381,74,,05/13/2025,ORD-2YGRAUG1,N/A,2025-11-29,27-12-2025,GMT+1,PHL,NULL,N/A,home kitchen,Vacuum Bottle,sku_833209,4,"₱8,583.04",PHP,23.0%,900.45,7.478,GCASH,pending,No,,3,101,0,2,26.99,FB,at-risk,02/11/2026,Produit arrivé cassé.,batch_C_windows1252,Dates came from mixed regional settings.
GM-01258,Call Center,CUST-000809,Isabella Lee,isabella.lee122@hotmail.com,+1 (4) 462-3307,50,,13 Dec 2022,ORD-BVQ5RCS8,2024-11-07,"Nov 17, 2024",13-12-2024,,FR,Marseille,62465,Book,Productivity Journal,sku_327017,2,€66.57,EUR,14.0%,EUR 4.27,0.45 lbs,debit-card,on hold,No,,2,816,3,unknown,956.42,Influencer,new customer,23-Jan-2025 00:00,Customer wrote: “not what I expected”.,api_stream_v2,Currency conversion not yet standardized.
GM-00375,call centre,CUST-000962,Lucas Garcia,lucas.garcia381@outlook.com,+1 (0) 118-6682,unknown,Prefer not to say,16-12-2023,ORD-3PJTCS5Q,2025-08-03,2025/08/08,2025/08/08,PST,germany,Hamburg,Y3O 7W4,Kitchen & Home,Kitchen Scale,SKU-HOM-7080,2,161.95,EUR,8.5%,"26,98",8.87 lbs,applepay,DELIVERED,No,,1,346,14,1,383.11,Email Campaign,occasional,10 Sep 2025,El producto llegÃ³ tarde.,batch_A_utf8,Currency conversion not yet standardized.
GM-00776,APP,CUST-000488,André Müller,andr.mller831@company.com,+41 59 058 29 24,59,male,2022-06-16,ORD-MEGTPCBF,07/28/2024,"Jul 29, 2024",2024-08-13 00:00,EST,Germany,Muenchen,3126,Beauty,Hair Dryer,SKU-BEA-2904,1,EUR 79.97,EUR,7.4%,EUR 24.01,14.17 lbs,G Cash,void,No,,3,477,?,1,1311.96,NA,occasional,04-09-2024,The item was damaged when opened.,batch_C_windows1252,"Merged from checkout, CRM, and support extracts."
GM-00467,APP,CUST-000506,AIKO JOHNSON,aiko.johnson988@hotmail.com,+81-27-8121-9657,32,male,14/10/24,ORD-YPQ9ORFH,02/20/2026 12:00 AM,2026-02-27 00:00,03/23/2026,CET,America,San Francisco,K8T 9B1,fashion,Linen Dress,,1,183.71,USD,42.1%,5.42,4.050,Pay Pal,shipped,No,,2,167,20,0,144.68,google,first-time,,Address contains special characters and courier could not read it.,legacy_excel_export,Currency conversion not yet standardized.
GM-00054,web,CUST-000408,François Johnson,franois.johnson508@outlook.com,na,None,Non-binary, 06/21/2023 ,ORD-PKR1IFSI,"Apr 19, 2025", 24-04-2025 ,2025/04/24,JST,Australia,Perth,90098,Sporting Goods,Resistance Bands,SP 536,1 pcs,"164,81",AUD,9.3%,26.77,1779 g,G Cash,delivrd,No,None,1,868,14,0,1325.19,Email Campaign,Loyal,unknown,Payment failed twice but card was charged.,batch_B_latin1,Currency conversion not yet standardized.
GM-01770,partner-api,CUST-000897,François Brown,franois.brown112@hotmail.com,+1 (0) 486-4708,38,Male,05 Dec 2025,ORD-6IWOUM44,,2026-01-13,07/02/26,America/New_York,United States,Seattle,6009,sports,Jump Rope,,1,23.50 ,USD,0.11,29.84,7.438,GCash,Completed,No,,2,217,5,0,1244.81,Organic,first-time,03/30/2026,,legacy_excel_export,Dates came from mixed regional settings.
GM-00861,Web ,CUST-000023,Chloé Wilson,chlo.wilson23@outlook.com,+63 989 659 1327,28,na,15 Jan 2021,ORD-NAP88136,31/07/24,08/02/2024,18 Aug 2024,Asia/Manila,U.S.A.,-,N/A,FASHN,Leather Wallet,FA 142,3,110.95,USD,1%,USD 31.05,7.75 kg,g-cash,In Transit,No,,2,247,11,many,196.35,affiliate,OCC,05-09-2024,-,batch_B_latin1,Duplicate order records possible due to API retry.
GM-00699,in-store,CUST-000579,Siti Santos,siti.santos394@example..com,+41 42 540 60 43,49,F,20221016,ORD-WRFEG7UA,24/10/24,29-10-2024,04 Nov 2024,,Philippines,Quezon,7430,beauty,Aloe Moisturizer,,3,3309.30,PHP,10.1%,1166.61,4.888,BT,DELIVERED,No,-,3,367,31,0,32.96,Google Ads,N,NA,Customer can’t access return portal.,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00005,partner-api,CUST-000592,Äá»©c Johnson,c.johnson513@outlook.com,+81-19-0659-4013,71,,2022/12/07,ORD-1GSPK9P3,12/09/25,09/19/2025 12:00 AM,2025/09/30,UTC+8,Singapore,Singapore,M9B 8C6,Home and Kitchen,Bamboo Organizer,,1,10.81,SGD,0.11,43.83,13.67 kg,bank xfer,delivered,-,,2,223,0,1,1.88,Email Campaign,repeat,2025-11-07,The item was damaged when opened.,legacy_excel_export,Some returns are recorded only in support tickets.
GM-00962,marketplace,CUST-000239,Olivia Dela Cruz,olivia.dela.cruz285@yahoo.com,+63 935 803 7975,44,NB,12/08/2022,ORD-6U2C0T3O,08/07/25,16/07/25,24 Jul 2025,GMT+1,Japan,Yokohama,N/A,Beauty,Sunscreen SPF50,BE 697,1,"¥21,842.61",JPY,4.2%,2525.81,2.337,CC,DELIVERED,No,,4,415,23,1,1233.53,none,Occasional Buyer,2025/08/07,Customer wrote: “not what I expected”.,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00472,partner-api,CUST-000807,José Miller,jos.miller332@company.com,+41 52 405 41 68,43,,09/20/2022,?,"Feb 28, 2026",06 Mar 2026,04/04/2026 12:00 AM,EST,Canada,None,U3A 8T1,Beauty,Sunscreen SPF50,BE 198,2,"85,38",CAD,1.6%,45.17,2.770,Cash on Delivery,ok,1,,2,399,20,0,1331.22,,Occasional,04/21/2026,Customer wrote: “not what I expected”.,api_stream_v2,unknown
GM-01882,Mobile App,CUST-001112, AndrÃ© Brown ,andr.brown222@example..com,+41 05 384 97 22,31,NB,2024/09/11,ORD-IX3I4HV2,05-01-2026,2026-01-15 00:00,"Feb 07, 2026",Europe/Zurich,S'pore,Singapore,0000,Sports,Foam Roller,sku_156982,4,"245,96",SGD,-10.0%,14.59,7.206,Apple Pay,complete,No,,4,644,3,1,7.67,FB,Dormant,"Feb 05, 2026",Address contains special characters and courier could not read it.,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00076,Store,CUST-000807,?,ethan.garcia39@hotmail.com,+81-03-9205-1460,54,female,11/29/2021,ORD-QBQ9J2H1,05-Sep-2025 00:00,06 Sep 2025,04-Oct-2025 00:00,EST,germany,Muenchen,K5D 2U7,Electronic,Bluetooth Speaker,,1,138.92,EUR,8%,29.26,2.364,Pay Pal,Delivered,No,,1,168,0,1,1217.85,email,VIP,11/18/2025 12:00 AM,Customer can’t access return portal.,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00438,mobile,CUST-000026,Jose Miller,jose.miller674@yahoo.com,+41 45 507 42 98,63,unknown,2024/12/16,ORD-9AA9P9UR,"Oct 26, 2024",28 Oct 2024,06-11-2024,CET,singapore,S'pore,N/A,books,Data Science Handbook,,2,100.35,SGD,10.1%,S$17.05,1.098,g-cash,RETURN,?,NAD,bad,486,19,3,NA,none,Regular,"Oct 30, 2024",The item was damaged when opened.,legacy_excel_export,Legacy export may contain mojibake in names/cities.
GM-01707,Call Center,CUST-000776,Mateo Brown,?,+81-91-2513-8805,33,Prefer not to say,2022/10/23,ORD-3IS6YN2K,2025-11-12 00:00,11/11/25,11-Dec-2025 00:00,PHT,France,Toulouse,0000,beauty,Aloe Moisturizer,BE 385,1,137.29,EUR,19.6%,unknown,0.68 kg,Bank Transfer,pending,No,none,3,9999,21,0,1369.35,None,premium,14 Jan 2026,Received wrong color.,batch_A_utf8,Legacy export may contain mojibake in names/cities.
GM-01427,Store,CUST-000698,Ethan Mendoza,ethan.mendoza193@gmail.com,+81-30-7178-7270,39,female,44433,ORD-700W8XAE,25-07-2024,24-Jul-2024 00:00,"Jul 31, 2024",EST,Germany,Hamburg,V7Z 6W6,Clothes,Sunglasses,sku_513124,2,90.26,EUR,1.2%,"22,39",6.62 kg,paypal,complete,No,,3,400,8,0,1533.44,,V.I.P.,23-Jul-2024 00:00,No complaint.,batch_A_utf8,Dates came from mixed regional settings.
GM-00795,Market Place,CUST-000835,Emma Wong,emma.wong97@gmai.com,NULL,53,,20220403,ORD-7ZPCZH2J, 20250804 ,"Aug 08, 2025",2025-08-25,JST,CH,Bern,0000,home kitchen,Bamboo Organizer,-,1,CHF 25.07,unknown,12%,31.37,11.03 kg,cod,Completed,No,,3,794,18,1,447.35,AFF,V.I.P.,07/10/25,,legacy_excel_export,Dates came from mixed regional settings.
GM-00542,Store,CUST-000050,Chloe François,chloe.franois975@gmai.com,+81-25-0575-2149,31,-,02/12/2021,ORD-QI3B8O1P,"Nov 11, 2024",20241114,14-11-2024,EST,CA,Toronto,U4R 5D7,Media/Books,History of Cities,unknown,one,12.17,NA,15.5%,"0,20",2108 g,cash delivery,shipped,No,,1,204,9,0,205.7,Email Campaign,vip,05 Jan 2025,Missing manual in box.,batch_A_utf8,"Merged from checkout, CRM, and support extracts."
GM-00475,call centre,CUST-000165,Chloé Johnson,chlo.johnson696@gmail.com,+41 81 674 31 21,69,Non-binary,20230218,ORD-XLGD2KZC,04 Jul 2024,04-Jul-2024 00:00,30-07-2024,GMT+1,NA,Sydney,46244,READING,AI Ethics Primer,,20,€39.65,EUR,27.1%,EUR 4.83,5.706,BT,in transit,No,,4,920,17,1,114.32,,Occasional Buyer,30 Jul 2024,Customer wrote: “not what I expected”.,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01448,Web ,CUST-000507,Mateo Johnson,mateo.johnson201@outlook.com,+1 (0) 233-9118,55,unknown,2022/01/27,None,2025/11/30,12/01/2025 12:00 AM,2025/11/30,,Switzerland,Zurich,16228,SPORTS,Yoga Mat,sku_486740,1,146.62,CHF,0.08,,1136 g,cash delivery,delivrd,No,,5,408,5,0,1384.07,none,Loyal,11/21/2025,Address contains special characters and courier could not read it.,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00366,mobile,CUST-001272,Ethan Santos,ethan.santos980@hotmail.com,+81-51-4690-5918,23,NB,None,ORD-QT1DTRB6,01/29/2025 12:00 AM,20250201,20250301,CET,Canada,Montreal,8041,Personal Care,Vitamin C Serum,SKU-BEA-1042,3,118.02 ,CAD,28.6%,17.41,3.87 kg,VISA/MC,Pending,No,,unknown,370,11,1,476.01,na,Occasional Buyer,04/21/2025,NULL,batch_C_windows1252,Duplicate order records possible due to API retry.
GM-00770,mobile,CUST-000224,François Davis,franois.davis28@gmail.com,+63 987 200 2997,23,unknown,20240314,ORD-JAYJ0SU7,01/04/25,06-Apr-2025 00:00,04/16/2025,,Japan,na,6567,HOME-KITCHEN,CERAMIC PAN SET,sku_535675,4,"¥30,000.38",JPY,35.6%,1519.06,3.76 kg,COD,Pending,No,,4,670,9,0,132.84,Influencer,Regular,23-05-2025,Entrega atrasada em SÃ£o Paulo.,batch_A_utf8,Potential duplicate from API retry.
GM-00350,Call Center,CUST-000458,Léa Kim,la.kim172@gmail.com,+63 947 467 5732,56,F,02/10/2024,ORD-DKF0Q8JR,2024-12-15,25/12/24,45664,PST,United States,Seattle,0000,Fitness,Yoga Mat,sku_445731,3,USD 153.66,USD,14.5%,28.14,4.022,COD,delivrd,No,,5,0,17,None,98.66,Facebook,Dormant,2025/02/23,Produit arrivé cassé.,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-01846,WEB,CUST-000769,Søren Garcia,sren.garcia828@hotmail.com,+41 45 102 13 55,34,Female,16-12-2021,ORD-O6IUOB6R,17-03-2024,,04/14/2024,PST,france,Lyon,Z5R 8F4,Electronic,USB-C Hub,sku_874197,1,559.63,EUR,0.20,EUR 32.05,5070 g,cash delivery,ok,No,,3,810,11,0,1041.05,google,occasional,2024-06-09,Great service — fast delivery!,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-01982,Partner API,CUST-001316,Ana Lee,ana.lee644@yahoo.com,+63 967 369 5114,40,None,"Jun 26, 2021",ORD-XBCYXV7X,26-May-2025 00:00,06/05/2025 12:00 AM,09/06/25,,S'pore,Singapore,E5F 3K4,Media/Books,Travel Guide Switzerland,sku_336091,2,37.69,SGD,26.8%,12.96,7.268,debit-card,Completed,No,,N/A,728,19,1,21.44,FB,churn risk,na,Payment failed twice but card was charged.,batch_A_utf8,Currency conversion not yet standardized.
