record_id,source_system,customer_id,customer_name,customer_email,order_id,source_system_clean,customer_name_clean,clean_age,gender_clean,country_clean,product_category_clean,quantity_clean,unit_price_clean,discount_clean,shipping_cost_clean,item_weight_clean,payment_method_clean,order_status_clean,returned_flag_clean,satisfaction_score_clean,loyalty_points_clean,site_visits_last30_clean,support_tickets_90d_clean,distance_to_warehouse_km_clean,customer_segment_clean,order_date_clean,delivery_date_clean,delivery_duration_clean,customer_timezone,ingestion_batch,data_source_note
GM-00375,call centre,CUST-000962,Lucas Garcia,lucas.garcia381@outlook.com,ORD-3PJTCS5Q,Call Center,Lucas Garcia,,Prefer not to say,Germany,Home & Kitchen,2.0,161.95,8.5,26.98,4.023361039999999,Apple Pay,Completed,0,1.0,346,14,1,383.11,Occasional,2025-08-03,2025-08-08,5,PST,batch_A_utf8,Currency conversion not yet standardized.
GM-00776,APP,CUST-000488,André Müller,andr.mller831@company.com,ORD-MEGTPCBF,Mobile App,André Müller,59.0,Male,Germany,Health & Beauty,1.0,79.97,7.4,24.01,6.42739864,GCash,Cancelled,0,3.0,477,,1,1311.96,Occasional,2024-07-28,2024-08-13,16,EST,batch_C_windows1252,"Merged from checkout, CRM, and support extracts."
GM-00467,APP,CUST-000506,AIKO JOHNSON,aiko.johnson988@hotmail.com,ORD-YPQ9ORFH,Mobile App,AIKO JOHNSON,32.0,Male,United States,Fashion & Apparel,1.0,183.71,42.1,5.42,4.05,PayPal,Shipped,0,2.0,167,20,0,144.68,New,2026-02-20,2026-03-23,31,CET,legacy_excel_export,Currency conversion not yet standardized.
GM-00054,web,CUST-000408,François Johnson,franois.johnson508@outlook.com,ORD-PKR1IFSI,Web,François Johnson,,Non-Binary,Australia,Sports & Fitness,1.0,164.81,9.3,26.77,1779.0,GCash,Completed,0,1.0,868,14,0,1325.19,Loyal,2025-04-19,2025-04-24,5,JST,batch_B_latin1,Currency conversion not yet standardized.
GM-01770,partner-api,CUST-000897,François Brown,franois.brown112@hotmail.com,ORD-6IWOUM44,Partner-API,François Brown,38.0,Male,United States,Sports & Fitness,1.0,23.5,0.11,29.84,7.438,GCash,Completed,0,2.0,217,5,0,1244.81,New,,2026-07-02,,America/New_York,legacy_excel_export,Dates came from mixed regional settings.
GM-00861,Web ,CUST-000023,Chloé Wilson,chlo.wilson23@outlook.com,ORD-NAP88136,Web,Chloé Wilson,28.0,,United States,Fashion & Apparel,3.0,110.95,1.0,31.05,7.75,GCash,Shipped,0,2.0,247,11,10,196.35,Occasional,2024-07-31,2024-08-18,18,Asia/Manila,batch_B_latin1,Duplicate order records possible due to API retry.
GM-00699,in-store,CUST-000579,Siti Santos,siti.santos394@example..com,ORD-WRFEG7UA,In-Store,Siti Santos,49.0,Female,Philippines,Health & Beauty,3.0,3309.3,10.1,1166.61,4.888,Bank Transfer,Completed,0,3.0,367,31,0,32.96,New,2024-10-24,2024-11-04,11,,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00005,partner-api,CUST-000592,Äá»©c Johnson,c.johnson513@outlook.com,ORD-1GSPK9P3,Partner-API,Đức Johnson,71.0,,Singapore,Home & Kitchen,1.0,10.81,0.11,43.83,13.67,Bank Transfer,Completed,,2.0,223,0,1,1.88,Loyal,2025-12-09,,,UTC+8,legacy_excel_export,Some returns are recorded only in support tickets.
GM-00962,marketplace,CUST-000239,Olivia Dela Cruz,olivia.dela.cruz285@yahoo.com,ORD-6U2C0T3O,Marketplace,Olivia Dela Cruz,44.0,Non-Binary,Japan,Health & Beauty,1.0,21842.61,4.2,2525.81,2.337,Credit Card,Completed,0,4.0,415,23,1,1233.53,Occasional,2025-08-07,,,GMT+1,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00472,partner-api,CUST-000807,José Miller,jos.miller332@company.com,,Partner-API,José Miller,43.0,,Canada,Health & Beauty,2.0,85.38,1.6,45.17,2.77,Cash on Delivery,Completed,,2.0,399,20,0,1331.22,Occasional,2026-02-28,2026-04-04,35,EST,api_stream_v2,
GM-01882,Mobile App,CUST-001112, AndrÃ© Brown ,andr.brown222@example..com,ORD-IX3I4HV2,Mobile App, André Brown ,31.0,Non-Binary,Singapore,Sports & Fitness,4.0,245.96,10.0,14.59,7.206,Apple Pay,Completed,0,4.0,644,3,1,7.67,At Risk,2026-05-01,,,Europe/Zurich,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00076,Store,CUST-000807,,ethan.garcia39@hotmail.com,ORD-QBQ9J2H1,In-Store,,54.0,Female,Germany,Electronics,1.0,138.92,8.0,29.26,2.364,PayPal,Completed,0,1.0,168,0,1,1217.85,VIP,2025-09-05,2025-10-04,29,EST,batch_C_windows1252,Some returns are recorded only in support tickets.
GM-00438,mobile,CUST-000026,Jose Miller,jose.miller674@yahoo.com,ORD-9AA9P9UR,Mobile App,Jose Miller,63.0,,Singapore,Books & Media,2.0,100.35,10.1,17.05,1.098,GCash,Returned/Refunded,,1.0,486,19,3,,Loyal,2024-10-26,,,CET,legacy_excel_export,Legacy export may contain mojibake in names/cities.
GM-01707,Call Center,CUST-000776,Mateo Brown,,ORD-3IS6YN2K,Call Center,Mateo Brown,33.0,Prefer not to say,France,Health & Beauty,1.0,137.29,19.6,,0.68,Bank Transfer,Pending,0,3.0,9999,21,0,1369.35,VIP,2025-11-12,2025-12-11,29,PHT,batch_A_utf8,Legacy export may contain mojibake in names/cities.
GM-01427,Store,CUST-000698,Ethan Mendoza,ethan.mendoza193@gmail.com,ORD-700W8XAE,In-Store,Ethan Mendoza,39.0,Female,Germany,Fashion & Apparel,2.0,90.26,1.2,22.39,6.62,PayPal,Completed,0,3.0,400,8,0,1533.44,VIP,2024-07-25,2024-07-31,6,EST,batch_A_utf8,Dates came from mixed regional settings.
GM-00795,Market Place,CUST-000835,Emma Wong,emma.wong97@gmai.com,ORD-7ZPCZH2J,Marketplace,Emma Wong,53.0,,Switzerland,Home & Kitchen,1.0,25.07,12.0,31.37,11.03,Cash on Delivery,Completed,0,3.0,794,18,1,447.35,VIP,2025-08-04,2025-08-25,21,JST,legacy_excel_export,Dates came from mixed regional settings.
GM-00542,Store,CUST-000050,Chloe François,chloe.franois975@gmai.com,ORD-QI3B8O1P,In-Store,Chloe François,31.0,,Canada,Books & Media,1.0,12.17,15.5,0.2,2108.0,Cash on Delivery,Shipped,0,1.0,204,9,0,205.7,VIP,2024-11-11,2024-11-14,3,EST,batch_A_utf8,"Merged from checkout, CRM, and support extracts."
GM-00475,call centre,CUST-000165,Chloé Johnson,chlo.johnson696@gmail.com,ORD-XLGD2KZC,Call Center,Chloé Johnson,69.0,Non-Binary,,Books & Media,20.0,39.65,27.1,4.83,5.706,Bank Transfer,Shipped,0,4.0,920,17,1,114.32,Occasional,2024-07-04,2024-07-30,26,GMT+1,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01448,Web ,CUST-000507,Mateo Johnson,mateo.johnson201@outlook.com,,Web,Mateo Johnson,55.0,,Switzerland,Sports & Fitness,1.0,146.62,0.08,,1136.0,Cash on Delivery,Completed,0,5.0,408,5,0,1384.07,Loyal,2025-11-30,2025-11-30,0,,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00366,mobile,CUST-001272,Ethan Santos,ethan.santos980@hotmail.com,ORD-QT1DTRB6,Mobile App,Ethan Santos,23.0,Non-Binary,Canada,Health & Beauty,3.0,118.02,28.6,17.41,3.87,Credit Card,Pending,0,,370,11,1,476.01,Occasional,2025-01-29,2025-03-01,31,CET,batch_C_windows1252,Duplicate order records possible due to API retry.
GM-00770,mobile,CUST-000224,François Davis,franois.davis28@gmail.com,ORD-JAYJ0SU7,Mobile App,François Davis,23.0,,Japan,Home & Kitchen,4.0,30000.38,35.6,1519.06,3.76,Cash on Delivery,Pending,0,4.0,670,9,0,132.84,Loyal,2025-01-04,2025-04-16,102,,batch_A_utf8,Potential duplicate from API retry.
GM-00350,Call Center,CUST-000458,Léa Kim,la.kim172@gmail.com,ORD-DKF0Q8JR,Call Center,Léa Kim,56.0,Female,United States,Sports & Fitness,3.0,153.66,14.5,28.14,4.022,Cash on Delivery,Completed,0,5.0,0,17,,98.66,At Risk,2024-12-15,,,PST,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-01846,WEB,CUST-000769,Søren Garcia,sren.garcia828@hotmail.com,ORD-O6IUOB6R,Web,Søren Garcia,34.0,Female,France,Electronics,1.0,559.63,0.2,32.05,5070.0,Cash on Delivery,Completed,0,3.0,810,11,0,1041.05,Occasional,2024-03-17,2024-04-14,28,PST,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-01982,Partner API,CUST-001316,Ana Lee,ana.lee644@yahoo.com,ORD-XBCYXV7X,Partner-API,Ana Lee,40.0,,Singapore,Books & Media,2.0,37.69,26.8,12.96,7.268,Debit Card,Completed,0,,728,19,1,21.44,At Risk,2025-05-26,2025-09-06,103,,batch_A_utf8,Currency conversion not yet standardized.
GM-00609,in-store,CUST-000182,Sofia Reyes,sofia.reyes@gmailcom,ORD-YH2BV8BT,In-Store,Sofia Reyes,37.0,Female,Canada,Sports & Fitness,1.0,179.16,16.6,31.23,6.675,PayPal,Completed,0,5.0,419,11,1,437.88,Loyal,2024-08-18,2024-08-27,9,America/New_York,api_stream_v2,Some returns are recorded only in support tickets.
GM-01282,partner-api,CUST-001298,Juan O’Connor,juan.oconnor506@gmai.com,ORD-EW31XFJN,Partner-API,Juan O'Connor,72.0,,Canada,Health & Beauty,1.0,182.88,9.5,2.38,2942.0,Debit Card,Returned/Refunded,,4.0,727,13,2,325.16,Occasional,2024-06-08,2024-06-25,17,UTC+8,legacy_excel_export,Duplicate order records possible due to API retry.
GM-01037,mobile,CUST-000869,Maria Kim,maria.kim675@company.com,ORD-LNR05AUR,Mobile App,Maria Kim,71.0,,Switzerland,Books & Media,3.0,42.21,8.1,14.79,2.06,Bank Transfer,Completed,0,3.0,536,3,4,840.81,New,2025-06-06,2025-06-25,19,JST,batch_B_latin1,Dates came from mixed regional settings.
GM-01330,Partner API,CUST-000070,Sofia Müller,sofia.mller937@gmail.com,ORD-MJJWL83Q,Partner-API,Sofia Müller,,Male,Brazil,Home & Kitchen,1.0,60.68,5.7,29.3,6.2,Apple Pay,Shipped,,4.0,9999,16,0,853.56,Loyal,2024-09-04,,,UTC+8,batch_B_latin1,Some returns are recorded only in support tickets.
GM-01019,Market Place,CUST-000523,Nguyá»…n Lee,nguyn.lee435@yahoo.com,ORD-EDEKG0Z5,Marketplace,Nguyá»…n Lee,47.0,Male,United States,Sports & Fitness,3.0,145.73,39.0,14.77,5.583,Credit Card,Completed,0,5.0,293,15,1,123.9,Loyal,2026-01-12,2027-01-03,356,Asia/Manila,api_stream_v2,Duplicate order records possible due to API retry.
GM-01416,in-store,CUST-000653,Paulo Wong,paulo.wong96@company.com,ORD-C5HPAMKG,In-Store,Paulo Wong,120.0,Non-Binary,United States,Electronics,1.0,,3.4,,1.414,Credit Card,Returned/Refunded,,3.0,415,8,0,366.03,New,2024-10-12,2025-01-06,86,PHT,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-00984,Partner API,CUST-001279,ZOË MÜLLER,zo.mller191@outlook.com,ORD-CSPFF56S,Partner-API,ZOË MÜLLER,36.0,,Switzerland,Books & Media,4.0,47.88,6.0,12.39,4.024,Unknown Card,Completed,0,4.0,255,24,2,467.84,New,2024-06-09,2024-06-27,18,,legacy_excel_export,Legacy export may contain mojibake in names/cities.
GM-00250,partner-api,CUST-001023,Yuki Kowalski,yuki.kowalski841@gmail.com,ORD-OG996JLU,Partner-API,Yuki Kowalski,71.0,,Brazil,Electronics,3.0,2275.28,0.04,12.21,5.851,Cash on Delivery,Completed,0,5.0,0,,0,312.3,VIP,2025-10-13,2025-11-13,31,Europe/Zurich,batch_B_latin1,Some returns are recorded only in support tickets.
GM-01871,call centre,CUST-001268,Đức Davis,c.davis53@yahoo.com,ORD-QANAXC8D,Call Center,Đức Davis,33.0,Male,Switzerland,Electronics,5.0,648.16,10.8,6.87,1.35624008,Cash on Delivery,Shipped,0,,761,1,2,948.44,At Risk,2025-09-27,,,Europe/Zurich,legacy_excel_export,Duplicate order records possible due to API retry.
GM-01131,web,CUST-000921,Ava Wilson,ava.wilson149@gmai.com,ORD-9VABRFFE,Web,Ava Wilson,50.0,Male,Singapore,Fashion & Apparel,2.0,248.03,10.9,29.05,1.81,Cash on Delivery,Returned/Refunded,,3.0,742,10,0,11.78,Loyal,2024-07-02,2024-07-16,14,JST,batch_B_latin1,Currency conversion not yet standardized.
GM-01127,Call Center,CUST-000835,Zoë Dubois,zo.dubois@gmailcom,ORD-GZKY1Y8G,Call Center,Zoë Dubois,16.0,Prefer not to say,Australia,Sports & Fitness,2.0,356.9,33.0,26.06,6.084,Apple Pay,Failed,0,3.0,,17,0,1434.21,Occasional,2025-12-16,2026-03-01,75,PST,api_stream_v2,Dates came from mixed regional settings.
GM-00089,Partner API,CUST-000081,Léa Reyes,,,Partner-API,Léa Reyes,67.0,,,Books & Media,2.0,,6.6,15.35,6.832,GCash,Completed,0,5.0,386,15,0,1135.81,Loyal,2025-02-11,2025-11-03,265,America/New_York,legacy_excel_export,Some returns are recorded only in support tickets.
GM-00418,marketplace,CUST-000582,Jose Reyes,jose.reyes253@yahoo.com,ORD-G9TDROJ0,Marketplace,Jose Reyes,61.0,Female,France,Books & Media,1.0,29.67,13.7,19.84,0.639,Debit Card,Pending,0,5.0,950,23,0,1513.05,Occasional,2024-04-22,2024-05-29,37,EST,batch_B_latin1,Some returns are recorded only in support tickets.
GM-01559,marketplace,CUST-000477,Jose François,jose.franois985@company.com,ORD-AS2PIMK9,Marketplace,Jose François,34.0,Non-Binary,United States,Home & Kitchen,,160.11,5.7,13.29,7.647,Credit Card,Completed,0,1.0,531,17,35,899.08,At Risk,2024-10-16,2024-10-17,1,EST,api_stream_v2,Currency conversion not yet standardized.
GM-01856,mobile,CUST-001067,Chloe Davis,,ORD-AIXSXPWO,Mobile App,Chloe Davis,22.0,Male,Australia,Sports & Fitness,2.0,,29.0,29.31,7.51,PayPal,Cancelled,0,3.0,,0,0,641.62,Occasional,2025-06-13,2025-07-12,29,UTC+8,batch_C_windows1252,Currency conversion not yet standardized.
GM-01804,in-store,CUST-000647,Ana Dubois,ana.dubois@examplecom,ORD-DT42C65H,In-Store,Ana Dubois,54.0,Female,Singapore,Sports & Fitness,3.0,319.08,,5.71,6.961,PayPal,Completed,0,5.0,337,5,35,0.0,,2026-11-22,2026-12-05,13,,legacy_excel_export,Currency conversion not yet standardized.
GM-01753,call centre,CUST-000406,Søren Kim,sren.kim613@example..com,ORD-84FRK7JB,Call Center,Søren Kim,40.0,Male,Switzerland,Fashion & Apparel,1.0,12.05,5.3,9.91,0.894,Credit Card,Pending,0,5.0,658,11,0,667.43,VIP,2024-04-14,2024-05-11,27,Asia/Manila,batch_C_windows1252,Currency conversion not yet standardized.
GM-00977,in-store,CUST-000336,Sofia Santos,sofia.santos260@company.com,ORD-E6Y6JZ9U,In-Store,Sofia Santos,,Non-Binary,United States,Books & Media,2.0,34.53,11.0,3.06,6.072,,Completed,0,2.0,15000,10,0,998.25,VIP,2024-04-24,,,UTC+8,batch_A_utf8,"Merged from checkout, CRM, and support extracts."
GM-01648,web,CUST-001085,Renée Núñez,rene.nez799@gmail.com,ORD-JYSEJGMH,Web,Renée Núñez,29.0,Male,France,Electronics,4.0,614.8,15.2,0.27,3.68,Debit Card,Shipped,0,2.0,291,18,2,336.9,Loyal,2026-03-07,2026-03-17,10,Europe/Zurich,batch_B_latin1,Some returns are recorded only in support tickets.
GM-00703,call centre,CUST-001108,Siti Núñez,siti.nez@hotmailcom,ORD-4ZYK2PBC,Call Center,Siti Núñez,78.0,Female,Canada,Health & Beauty,1.0,62.48,9.9,34.92,0.696,PayPal,Completed,0,5.0,737,8,,1417.26,Occasional,2025-12-20,2026-01-01,12,,batch_B_latin1,Dates came from mixed regional settings.
